Region,Municipality,# of electorate,07:00,09:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,# of voters
Busan,동구,85811,1700,7368,15400,21345,26950,31272,35522,38776,41606,45167,45167
Busan,영도구,120736,3385,12053,24101,31375,39589,44372,50979,55381,59140,63947,63947
Busan,부산진구,328803,8156,31524,64529,81670,105344,111047,125367,152126,163721,180733,180733
Busan,동래구,230171,4480,19253,40482,54567,71931,83991,94613,104779,113172,125486,125486
Busan,남구,241331,5213,17759,44437,59539,77025,89333,102001,111820,120665,132227,132227
Busan,북구,135371,2832,13598,26549,34275,44283,50366,56545,61797,66601,74384,74384
Busan,해운대구,338060,6859,26056,55611,75263,99929,116432,132185,145775,158136,174846,174846
Busan,기장군,86375,1911,7743,16282,18320,28629,32681,36550,39786,42862,46148,46148
Busan,사하구,286269,7183,28515,55978,71412,90785,104522,117705,129884,140220,154494,154494
Busan,금정구,210384,4178,17677,37885,50538,61775,76699,86532,94724,102314,113002,113002
Busan,강서구,164546,4008,17482,36591,46913,59797,68259,76898,84186,90703,100229,100229
Busan,연제구,174695,4289,15494,33148,37914,57437,66677,75915,83434,89647,98604,98604
Busan,수영구,148078,3102,13247,28426,38122,49184,57201,64507,71282,76775,83857,83857
Busan,사상구,208242,5615,24175,45878,57592,72442,82454,91718,99863,108391,119570,119570
Daegu,중구,65078,2074,7152,14153,17603,21462,24300,27062,29348,31287,33669,33669
Daegu,동구,278172,8422,29664,60025,75171,93922,106052,117532,126840,135071,146433,146433
Daegu,서구,185792,5664,21414,38482,47561,60998,64780,71720,77224,82696,91114,91114
Daegu,남구,143047,4112,14719,29141,36558,45296,51337,57004,61434,65462,70657,70657
Daegu,북구,346400,8589,35721,70097,87827,110530,125870,139451,151380,162815,179971,179971
Daegu,수성구,352113,7299,31400,69204,89877,116662,134571,151047,165249,177711,195358,195358
Daegu,달서구,469093,8710,43437,89133,113846,146112,166837,186488,203747,219042,245236,245236
Daegu,달성군,139951,2539,13788,26751,36066,45683,51467,56448,61419,65640,73268,73268
Incheon,중구,76000,1818,6628,14463,18690,23454,26730,29784,32337,34764,37450,37450
Incheon,동구,63709,2070,7136,13186,16501,20570,23679,27278,29273,31487,34700,34700
Incheon,남구,340175,5758,26768,58314,75577,97563,112071,127405,140149,150592,166533,166533
Incheon,연수구,221299,4912,18705,37959,50492,66895,78228,89275,98520,107045,119969,119969
Incheon,남동구,387429,9291,32036,67433,87186,113110,131914,149316,163897,177818,198132,198132
Incheon,부평구,443886,10430,39056,75082,96732,128161,149680,169862,187111,202539,224632,224632
Incheon,계양구,266893,6319,23097,42033,54992,73249,85813,98132,108451,117879,133292,133292
Incheon,서구,236960,5357,20624,42395,53968,71506,81980,93047,101780,110149,122967,122967
Incheon,강화군,155025,4313,16087,35346,44336,54886,62319,69120,74490,80036,86248,86248
Incheon,옹진군,16638,793,3010,5844,7024,8517,9091,9733,10106,10493,10864,10864
Gwangju,동구,89293,2512,9225,19472,24564,30826,35098,39565,42901,45781,49266,49266
Gwangju,서구,239131,5713,21181,47275,62249,80875,92909,104378,114745,124002,135684,135684
Gwangju,남구,170987,3758,13345,31382,40013,53001,59710,67197,73795,79439,87538,87538
Gwangju,북구,342319,7313,28918,61990,79713,103855,118509,133881,146785,159088,176611,176611
Gwangju,광산구,267284,4810,20774,46382,60410,78451,90212,101048,111763,121172,135126,135126
Daejeon,동구,202535,7639,21134,43203,54492,67510,76158,84700,91633,97672,106022,106022
Daejeon,중구,209623,6518,21648,44755,57776,72342,82224,91849,99376,106054,115288,115288
Daejeon,서구,381404,8481,32130,71433,94366,122753,140702,159065,174778,188531,207112,207112
Daejeon,유성구,219712,5055,18700,39648,54182,72703,84518,95550,105059,113844,126145,126145
Daejeon,대덕구,159137,4040,15395,32393,41024,51012,58124,64286,69755,74765,81456,81456
Ulsan,중구,183651,4151,17057,34139,44777,59260,67874,76430,84104,90864,100398,100398
Ulsan,남구,265658,4083,19261,42801,57467,78660,91396,105244,117196,129147,145709,145709
Ulsan,동구,135264,4400,16469,28593,36250,46888,53901,60229,66195,72242,80861,80861
Ulsan,북구,132751,3605,13673,27463,35307,45578,52890,59331,64812,70367,77336,77336
Ulsan,울주군,156996,3988,13082,28590,37333,48665,56492,63404,69333,74744,82499,82499
Sejong,연기군,80052,2617,9146,19969,25135,31236,34856,38434,41399,44117,47401,47401
Gyeonggi,수원시장안구,223682,4684,16781,38133,51920,69156,81006,92001,101634,110370,123229,123229
Gyeonggi,수원시권선구,220289,4424,17335,37207,49320,64473,75395,85156,93898,102037,112780,112780
Gyeonggi,수원시팔달구,201664,4597,15769,33509,44694,58703,67143,76463,85007,91155,100084,100084
Gyeonggi,수원시영통구,199552,3447,14884,33014,45127,61302,72375,83245,92421,101357,113187,113187
Gyeonggi,성남시수정구,193356,3810,14687,31604,41525,53692,62706,71264,78871,85679,94158,94158
Gyeonggi,성남시중원구,206952,3545,15357,32777,43175,49246,65799,75103,83100,89911,100328,100328
Gyeonggi,성남시분당구,378585,4036,22989,61542,85640,116980,140095,163861,182837,201786,229111,229111
Gyeonggi,의정부시,336661,7931,28796,57256,75214,97702,113662,129252,141767,153478,170221,170221
Gyeonggi,안양시만안구,210489,5037,18236,39224,50626,66121,76997,87510,96370,104616,115300,115300
Gyeonggi,안양시동안구,271461,3760,19524,49823,67212,89818,106354,122569,134944,147483,162964,162964
Gyeonggi,부천시원미구,352901,6642,26894,59116,76649,100873,118302,135483,150791,163805,183003,183003
Gyeonggi,부천시소사구,185895,4838,15155,32341,43478,57498,67346,76518,83788,90356,100224,100224
Gyeonggi,부천시오정구,151714,3144,13148,25562,31706,41384,48136,54702,60105,64832,72225,72225
Gyeonggi,광명시,276980,6293,23799,51614,67810,88691,104447,118903,131782,142799,157531,157531
Gyeonggi,평택시,328588,8203,29458,62817,79404,98936,113398,126317,137425,146979,160608,160608
Gyeonggi,양주시,153742,2324,14611,31460,39545,49450,56074,61929,66832,70802,76526,76526
Gyeonggi,동두천시,76144,1582,6584,14670,19010,23436,26557,29315,31571,33556,36137,36137
Gyeonggi,안산시상록구,289555,6476,24115,45615,59733,77024,88623,102582,112430,122328,136679,136679
Gyeonggi,안산시단원구,254690,5967,20901,42591,54890,70618,81420,91312,100261,108890,122522,122522
Gyeonggi,고양시덕양구,305752,4713,24045,54092,72397,96548,112759,128223,141427,152713,168796,168796
